date,exact,status,colour,country,code,continent,provider,reference 1,reference 2,reference 3
12/13/2017,Not exact,Added,1,Sudan,SDN,Africa,Zain,https://info.internet.org/en/story/where-weve-launched/,http://www.svdaily.net/index.php/new-posts/local-news/11530-zain-sudan-and-facebook-launch-free-basics-and-facebook-flex-for-subscribers-in-sudan,
12/28/2016,Not exact,Added,1,Iraq,IRQ,Asia,Zain,https://info.internet.org/en/story/where-weve-launched/,http://webcache.googleusercontent.com/search?q=cache:LzA3izlMUsIJ:https://www.iq.zain.com/en/web/iraq/media-coverage/-/detail/news/1215466&num=1&hl=en&gl=ca&strip=1&vwsrc=0,
1/23/2015,Not exact,Added,1,Ghana,GIN,Africa,Tigo,https://info.internet.org/en/story/where-weve-launched/,https://www.facebook.com/sheryl/posts/10155101394370177,
9/1/2015,Not exact,Added,1,Peru,PER,South America,Bitel,https://info.internet.org/en/story/where-weve-launched/,,
9/1/2015,Not exact,Added,1,Peru,PER,South America,Entel,https://info.internet.org/en/story/where-weve-launched/,,
12/14/2015,Not exact,Added,1,Mexico,MEX,North America,Telcel,https://info.internet.org/en/story/where-weve-launched/,https://www.facebook.com/zuck/posts/10102525764329831,
12/14/2015,Not exact,Added,1,Mexico,MEX,North America,Virgin Mobile,https://info.internet.org/en/story/where-weve-launched/,https://www.facebook.com/zuck/posts/10102525764329831,
5/11/2016,Not exact,Added,1,Benin,BEN,Africa,Etisalat,https://info.internet.org/en/story/where-weve-launched/,http://www.nairaland.com/3097880/facebook-free-basics-nigeria-launched/2#45522417,
5/11/2016,Not exact,Added,1,Benin,BEN,Africa,MTN,https://info.internet.org/en/story/where-weve-launched/,http://www.nairaland.com/3097880/facebook-free-basics-nigeria-launched/2#45522417,
6/6/2016,Not exact,Added,1,Myanmar,MMR,Asia,Myanma Posts and Telecommunications,https://en.wikipedia.org/wiki/Free_Basics#Participants,"25. ""Facebook Free Basics lands in Myanma"" https://www.mmtimes.com/business/technology/20685-facebook-free-basics-lands-in-myanmar.html",
10/13/2016,Not exact,Added,1,Antigua and Barbuda,ATG,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Barbados,BRB,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,British Virgin Islands,VGB,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Curaçao,CUW,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Dominica,DMA,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Grenada,GRD,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Jamaica,JAM,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Montserrat,MSR,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Panama,PAN,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Saint Kitts and Nevis,KNA,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Saint Vincent & the Grenadines,VCT,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Turks and Caicos,TCA,Central America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Aruba,ABW,South America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Bonaire,BES,South America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
10/13/2016,Not exact,Added,1,Suriname,SUR,South America,Digicel,https://info.internet.org/en/story/where-weve-launched/,https://www.digicelgroup.com/dm/en/mobile/explore/other-stuff/news---community/2016/october/13/facebook-and-digicel-launches-free-basic-in-dominica.html,
3/1/2017,Not exact,Added,1,Algeria,DZA,Africa,Ooredoo,https://en.wikipedia.org/wiki/Free_Basics#Participants,"26. ""Ooredoo Algeria launches Facebook Free Mode"" https://www.telecompaper.com/news/ooredoo-algeria-launches-facebook-free-mode-with-haya-plans--1190114",
4/1/2017,Not exact,Added,1,Belarus,BLR,Europe,Life,https://en.wikipedia.org/wiki/Free_Basics#Participants,"26. ""life:) открыл бесплатный доступ к TUT.BY и Facebook"". tut.by (in Russian). 2017-04-13. Retrieved 2017-04-13. https://42.tut.by/538546",
8/5/2017,Not exact,Added,1,Côte D’ivoire,CIV,Africa,MTN,https://info.internet.org/en/story/where-weve-launched/,https://www.agenceecofin.com/operateur/0508-49258-mtn-cote-d-ivoire-lance-une-application-permettant-a-ses-abonnes-d-etre-connectes-gratuitement-sur-facebook,
N/A,N/A,Planned,2,Tunisia,TUN,Africa,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Hong Kong,HKG,Asia,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Saudi Arabia,SAU,Asia,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Singapore,SGP,Asia,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Sri Lanka,LKA,Asia,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Bulgaria,BGR,Europe,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Poland,POL,Europe,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Romania,ROU,Europe,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Ukraine,UKR,Europe,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Planned,2,Brazil ,BRA,South America,N/A,https://www.buzzfeed.com/alexkantrowitz/how-facebooks-plan-to-give-the-world-free-mobile-internet-we?utm_term=.hu757x1Mv#.qum3jXqWz,,
N/A,N/A,Prohibited,3,Austria,AUT,Europe,N/A,http://www.businessinsider.com/internet-org-free-basics-2015-12,,
N/A,N/A,Prohibited,3,Germany,DEU,Europe,N/A,http://www.businessinsider.com/internet-org-free-basics-2015-12,,
N/A,N/A,Prohibited,3,Netherlands,NLD,Europe,N/A,http://www.businessinsider.com/internet-org-free-basics-2015-12,,
N/A,N/A,Prohibited,3,Norway,NOR,Europe,N/A,http://www.businessinsider.com/internet-org-free-basics-2015-12,,
N/A,N/A,Prohibited,3,Slovenia,SVN,Europe,N/A,http://www.businessinsider.com/internet-org-free-basics-2015-12,,
N/A,N/A,Prohibited,3,Canada,CDN,North America,N/A,http://www.businessinsider.com/internet-org-free-basics-2015-12,,
5/30/2014,Not exact,Prohibited,3,Chile,CHL,South America,N/A,https://qz.com/215064/when-net-neutrality-backfires-chile-just-killed-free-access-to-wikipedia-and-facebook/,,
12/30/2015,Exact,Terminated,0,Egypt,EGY,Africa,Etisalat,https://en.wikipedia.org/wiki/Free_Basics#Participants,"22. ""Facebook's free internet service has been shut down in Egypt"". The Verge. https://www.theverge.com/2015/12/30/10690714/faceboo-free-basics-internet-service-shut-down-egypt",
2/10/2016,Exact,Terminated,0,India,IND,Asia,Reliance Communications,https://en.wikipedia.org/wiki/Free_Basics#Participants,"11. ""India blocks Facebook Free Basics internet scheme"". BBC. 8 February 2016. http://www.bbc.com/news/technology-35522899",
